Name,Symbol,Compliance Status
Oracle Corp.,0R1Z-LN,Pass
Walt Disney Co (The),DIS,Fail
Wayfair Inc - Class A,W,Fail
AbCellera Biologics Inc,ABCL,Fail
Five9 Inc,FIVN,Pass
Gamestop Corporation - Class A,GME,Questionable
Sandridge Energy Inc New,SD,Fail
Extreme Networks Inc.,EXTR,Pass
UiPath Inc - Class A,PATH,Pass
Sunnova Energy International Inc,NOVA,Fail
ChargePoint Holdings Inc - Class A,CHPT,Pass
Iovance Biotherapeutics Inc,IOVA,Fail
SoFi Technologies Inc,SOFI,Fail
Netflix Inc.,NFLX,Questionable
Entegris Inc,ENTG,Fail
Capital One Financial Corp.,COF,Fail
"MKS Instruments, Inc.",MKSI,Fail
Jabil Inc,JBL,Pass
PDD Holdings Inc - ADR,PDD,Fail
Twilio Inc Class A,TWLO,Fail
Lumentum Holdings Inc,LITE,Fail
Wolfspeed Inc,WOLF,Fail
Ionis Pharmaceuticals Inc,IONS,Fail
Western Digital Corp.,WDC,Fail
PBF Energy Inc - Class A,PBF,Fail
Coherent Corp,COHR,Fail
Caterpillar Inc.,CAT,Pass
Western Alliance Bancorp,WAL,Fail
RingCentral Inc. - Class A,RNG,Fail
Air Lease Corp - Class A,AL,Fail
C3.ai Inc - Class A,AI,Fail
"Urban Outfitters, Inc.",URBN,Fail
Zions Bancorporation N.A,ZION,Fail
Flex Ltd,FLEX,Fail
Upstart Holdings Inc,UPST,Fail
Applovin Corp - Class A,APP,Fail
Vertiv Holdings Co - Class A,VRT,Pass
XP Inc - Class A,XP,Fail
Fastly Inc - Class A,FSLY,Pass
Rivian Automotive Inc - Class A,RIVN,Fail
Goodyear Tire & Rubber Co.,GT,Fail
Affirm Holdings Inc - Class A,AFRM,Fail
Palantir Technologies Inc - Class A,PLTR,Questionable
Carvana Co. - Class A,CVNA,Fail
CCC Intelligent Solutions Holdings Inc,CCCS,Questionable
Snap Inc - Class A,SNAP,Questionable
Bausch Health Companies Inc,BHC,Fail
ASE Technology Holding Co.Ltd - ADR,ASX,Fail
Nu Holdings Ltd Class A,NU,Fail
Equitrans Midstream Corporation,ETRN,Fail
GoodRx Holdings Inc - Class A,GDRX,Fail
Joby Aviation Inc,JOBY,Fail
Ginkgo Bioworks Holdings Inc - Class A,DNA,Fail
Symbotic Inc - Class A,SYM,Pass
DigitalOcean Holdings Inc,DOCN,Fail
Life Time Group Holdings Inc,LTH,Fail
IonQ Inc,IONQ,Fail
Recursion Pharmaceuticals Inc - Class A,RXRX,Fail
Eos Energy Enterprises Inc - Class A,EOSE,Fail
Oscar Health Inc - Class A,OSCR,Fail
Mirion Technologies Inc. - Class A,MIR,Fail
BWX Technologies Inc,BWXT,Fail
Macy`s Inc,M,Fail
Hess Midstream LP - Class A,HESM,Fail
"Quest Diagnostics, Inc.",DGX,Fail
"Titan International, Inc.",TWI,Fail
AGCO Corp.,AGCO,Pass
Conagra Brands Inc,CAG,Fail
Dutch Bros Inc - Class A,BROS,Fail
Bowlero Corp - Class A,BOWL,Fail
J.M. Smucker Co.,SJM,Pass
Northrop Grumman Corp.,NOC,Fail
Constellation Energy Corporation,CEG,Pass
Progressive Corp.,PGR,Fail
LPL Financial Holdings Inc,LPLA,Fail
W. P. Carey Inc,WPC,Fail
Grocery Outlet Holding Corp,GO,Fail
WEC Energy Group Inc,WEC,Fail
Campbell Soup Co.,CPB,Fail
Kellanova Co,K,Fail
ZoomInfo Technologies Inc.,ZI,Pass
Accenture plc,ACN,Pass
MongoDB Inc,MDB,Pass
Broadcom Inc,AVGO,Pass
ASML Holding NV,ASML,Pass
Lam Research Corp.,LRCX,Pass
Monolithic Power System Inc,MPWR,Pass
KLA Corp.,KLAC,Pass
"Synopsys, Inc.",SNPS,Pass
Adobe Inc,ADBE,Pass
Super Micro Computer Inc,SMCI,Pass
Workday Inc,WDAY,Pass
Palo Alto Networks Inc,PANW,Pass
Arista Networks Inc,ANET,Pass
Atlassian Corporation,TEAM,Pass
Crowdstrike Holdings Inc,CRWD,Pass
